word,phonetic,meaning
oblush,,腮红
mascara,,睫毛膏
toothpaste,,牙膏
washcloth,,毛巾
squeeze,,挤
mint,,薄荷
shower,,沐浴
shave,,刮胡子；剃毛发
wear,,穿戴
concealer,,遮瑕膏
wardrobe,,衣柜
hanger,,衣架
utfit,,服装：装束
choose,,选择
makeup,,化妆
cosmetics,,化妆品
eyeliner,,眼线
bad breath,,泡泡
toothbrush,,牙刷 刮胡刀：除毛刀
shaver,,牙刷 刮胡刀：除毛刀
stretch,,伸展
pajamas,,睡衣裤
versleep,,睡过头
miss,,错过
sleepyhead,,瞌睡虫
sleepy,,想睡的
drowsy,,昏沉的
panic,,惊慌的
alarm,,闹钟
outfit,,服装；装束
walnut,,核桃
congee,,粥
cereal,,谷片，麦片
atmeal,,燕麦粥
melet,,煎蛋卷
cornflakes,,麦片；玉米片
decaf,,低咖啡因咖啡
pancake,,美式松饼
fireplace,,壁炉；火炉
armchair,,单人座沙发
footrest,,脚凳；搁脚架
stool,,小凳子
stereo,,立体声音响
carpet,,（覆盖整面地板的）地毯
rug,,（局部覆盖的）地毯
ceiling,,天花板
chandelier,,水晶吊灯
wall,,墙壁
curtain,,窗帘
sofa,,长沙发
couch,,长沙发
towel,,毛巾
bathtub,,浴缸
toilet,,马桶
shampoo,,洗发精
conditioner,,护发乳
pillow,,枕头
quilt,,被子
tiles,,瓷砖
mattress,,床垫
blanket,,毯子
sheet,,床单
recliner,,躺椅
fridge,,冰箱
stove,,燃气灶
ven,,烤箱
microwave,,微波炉
dishwasher,,洗碗机
freezer,,冷冻室
cupboard,,碗橱
apron,,围裙
plate,,盘子
saucer,,小碟子
bowl,,碗
mug,,马克杯
stain,,污渍
dust,,灰尘；除尘
rag,,抹布
sponge,,海绵
broom,,扫把
sweep,,扫
vacuum,,n.吸尘器；吸地
dryer,,烘衣机
laundry,,待洗/已洗衣物
mop,,n.拖把；拖地
detergent,,洗衣粉
softener,,柔软剂
peg,,晒衣夹
clothesline,,晒衣绳
hang,,晾；晒
iron,,熨斗；熨烫
fold,,折叠
dry-clean,,干洗
seed,,种子
thorn,,荆棘；刺
soil,,泥土
fertilizer,,肥料
lawnmower,,除草机
sprinkler,,洒水器
fence,,篱笆，栅栏
hedge,,树篱
rake,,耙子
sow,,播种
trim,,修剪
plant,,植物；种植
mow,,割（草）
pluck,,拔
wither,,枯萎
weed,,杂草
herb,,草药；草本植物
broken,,坏掉的
shattered,,碎裂的
crack,,裂缝；破裂
clogged,,堵塞的
leaking,,漏水
sewage,,污水
handyman,,维修工人
work,,运行：运作
nail,,钉子
repair,,修理
plunger,,马桶吸盘
pipe,,水管
ladder,,梯子
saw,,锯子
drill,,钻头
screw,,螺丝
screwdriver,,螺丝起子
emotions,,情绪
mood,,心情；情绪
laugh,,大笑
grumpy,,易怒的；闹脾气的
temper,,脾气
weep,,哭泣；流泪
depressed,,沮丧的；抑郁的
disappointed,,失望的
frustrated,,懊恼沮丧的
blush,,脸红
surprised,,感到惊讶的
shocked,,感到吃惊的
anxious,,焦虑不安的
awkward,,不自在的
embarrassed,,感到困窘的：感到尴尬的
sibling,,兄弟姐妹之一；手足
uncle,,伯
cousin,,堂/表兄弟姐妹
nephew,,侄子；外甥
male,,女性朋友
bestie,,闺密
buddy,,朋友，伙伴，老兄
acquaintance,,相识的人；泛泛之交
colleague,,同事；同僚
stranger,,陌生人
grand-,,祖
great-grand-,,曾·.
step-,,继·.后
in-law,,姻亲的
lder,,年长的
younger,,年幼的
aunt,,姑姑；阿姨；伯母
romantic,,浪漫的
couple,,情侣；夫妇
single,,单身的
engaged,,已订婚的
marry,,结婚
divorce,,离婚
widowed,,丧偶的
date,,约会；约会对象；约会
court,,求爱；追求
woo,,求爱：追求
connection,,（情感）联结
chemistry,,情，来电
crush,,迷恋
confession,,告白
commitment,,承诺
soulmate,,灵魂伴侣：知己
affection,,深情；钟爱
nap,,小睡；打盹
dream,,梦；vi；做梦
nightmare,,噩梦；梦
drool,,口水；流口水
snore,,鼾声；打呼
yawn,,打哈欠
sleepless,,失眠的
petite,,娇小的
curvy,,有曲线的；丰满的
fit,,健壮的；健康的
chubby,,圆胖的
overweight,,超重的
obese,,肥胖臃肿的
muscular,,壮的；肌肉发达的
abs,,腹肌
six-pack,,六块腹肌
biceps,,肱二头肌
balanced,,均衡的
calorie,,卡路里；热量
figure,,身材：体型
shape,,健康状况；体型
height,,身高
weight,,体重
scales,,体重计；磅秤
bony,,皮包骨的
skinny,,削瘦的
slim,,苗条的；修长的
lose weight diet,,减重 节食：饮食习惯
fever,,发烧
thermometer,,体温计
appointment,,预约
hospital,,医院
clinic,,诊所
prescription,,处方笺
pharmacy,,药局
pill,,药丸
tablet,,药片
capsule,,胶囊
